"BehaviorSpace results (NetLogo 6.2.0)"
"Wound infection model editted.nlogo"
"prob_1"
"04/16/2021 07:00:33:298 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10"
"Macrophage_response","Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,
"Immune-cell-infiltration","5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,
"Neutrophil_response","Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,
"Prolif-rate","2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,
"number-antibiotic-molecules","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,
"Initial-bacteria","25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,
"prob-macrophage-killing","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
"[reporter]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
"[final]","0","0","0","0","0","0","0","0","0","0","0","0","612","80","77","53.45557122708039","598","93","83","52.04513399153738","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","650","52","76","39.21015514809591"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","25","1","0","0","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","1","0","0"
"[max]","729","141","111","88.15232722143864","762","143","103","83.9210155148096","752","130","116","82.08744710860366","768","131","104","69.6755994358251","787","155","100","80.67700987306064","743","152","109","74.04795486600845","759","121","108","73.90691114245416","758","140","104","88.71650211565584","773","131","111","85.049365303244","750","137","117","77.1509167842031"
"[mean]","98.8817159516868","18.809246147438568","19.565597667638485","8.764331270057294","295.2982090795502","51.10412328196585","49.14618908788005","24.785923119715658","33.120783007080384","7.701790920449812","6.801332778009163","2.8654609709518053","574.2723865056226","82.05539358600583","80.83256976259892","46.46001401625682","563.6339025406081","85.42482299042065","79.63723448563098","46.50330815380757","141.09995835068722","25.613910870470637","24.54893794252395","11.994297157566592","48.962932111620155","9.6780508121616","9.405247813411078","4.064127018067813","202.87963348604748","42.0978758850479","38.054560599750104","17.735734229214536","35.11328613077884","7.798417326114119","6.686380674718867","3.3604357375776095","561.7980008329863","85.75718450645564","79.8429820907955","47.23971969836269"
"[steps]","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400"

"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0"
,"36","2","0","0","41","2","0","0","35","2","0","0","41","2","0","0","32","2","0","0.14104372355430184","34","2","0","0","32","2","0","0.14104372355430184","41","2","0","0","42","2","0","0","38","2","0","0"
,"49","2","0","0.14104372355430184","50","2","0","0","50","2","0","0","50","2","0","0","48","2","0","0.14104372355430184","50","2","0","0","48","2","0","0.14104372355430184","50","2","0","0","49","2","0","0.14104372355430184","50","2","0","0"
