"BehaviorSpace results (NetLogo 6.2.0)"
"Wound infection model editted.nlogo"
"treat_prob_0.2"
"04/16/2021 07:29:02:918 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10"
"Macrophage_response","Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,
"Immune-cell-infiltration","5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,
"Neutrophil_response","Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,
"Prolif-rate","2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,
"number-antibiotic-molecules","400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,
"Initial-bacteria","25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,
"prob-macrophage-killing","0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,,"0.2",,,
"[reporter]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
"[final]","0","0","0","0","0","0","0","0","557","90","96","42.45416078984485","0","0","0","0","0","0","0","0","648","75","85","52.60930888575458","672","79","78","54.01974612129761","630","57","89","38.3638928067701","0","0","0","0","696","72","83","39.21015514809591"
"[min]","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","1","0","0","4","1","0","0","0","0","0","0","6","1","0","0"
"[max]","25","42","102","4.513399153737659","25","51","99","5.500705218617771","784","149","104","87.02397743300423","25","48","104","4.513399153737659","25","61","113","5.218617771509168","791","142","106","78.13822284908322","737","142","102","88.15232722143864","766","156","111","84.4851904090268","25","48","114","5.500705218617771","746","141","125","86.88293370944993"
"[mean]","0.010412328196584756","0.3231986672219908","3.2857142857142856","0.11789868936838148","0.010412328196584756","0.35985006247396917","2.9579341940857975","0.1401038236888837","656.478550603915","84.67888379841733","80.79841732611412","50.657019377798115","0.010412328196584756","0.37067888379841735","3.2078300708038316","0.11396285868194302","0.010412328196584756","0.4102457309454394","3.502707205331112","0.1252416570669603","656.3677634319034","83.26114119117035","79.63015410245731","50.18965416971883","674.3519366930445","69.56309870887131","78.14285714285714","42.30794761703072","673.1870054144107","75.39900041649312","79.13577675968347","45.16189481463131","0.010412328196584756","0.37859225322782175","3.957517700957934","0.1596067458963092","674.2503123698459","73.15618492294877","78.55601832569762","44.986251027281185"
"[steps]","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400"

"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0"
,"0","1","0","4.513399153737659","0","1","0","5.500705218617771","2","2","0","5.6417489421720735","0","1","0","4.513399153737659","0","1","0","5.218617771509168","1","2","0","3.9492242595204514","2","2","0","5.500705218617771","4","2","0","5.077574047954866","0","1","0","5.500705218617771","6","2","0","4.090267983074753"
