"BehaviorSpace results (NetLogo 6.2.0)"
"Wound infection model editted.nlogo"
"treat_prob_1"
"04/16/2021 07:24:34:340 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10"
"Macrophage_response","Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,
"Immune-cell-infiltration","5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,
"Neutrophil_response","Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,,"Low",,,
"Prolif-rate","2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,,"2",,,
"number-antibiotic-molecules","400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,,"400",,,
"Initial-bacteria","25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,,"25",,,
"prob-macrophage-killing","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
"[reporter]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
"[final]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","742","145","105","79.26657263751763","25","46","98","5.500705218617771","25","20","107","5.077574047954866","25","37","103","5.218617771509168","698","161","107","89.42172073342736","717","149","111","84.20310296191819","720","155","103","90.26798307475318","732","164","108","88.01128349788434","701","137","119","83.63892806770099","729","125","114","86.60084626234132"
"[mean]","42.91461890878801","10.069137859225323","8.68179925031237","4.174858970962379","0.010412328196584756","0.3590170762182424","3.084131611828405","0.12999990013563928","0.010412328196584756","0.16493127863390253","3.1120366513952518","0.13434693701319794","0.010412328196584756","0.27446897126197417","3.5335276967930027","0.15226377819773024","102.84381507705123","19.24656393169513","17.14868804664723","9.5234766426072","33.10079133694294","9.915868388171596","8.83423573511037","3.5797848686695555","49.74760516451479","12.422740524781341","10.307788421491045","4.952038672179965","32.50437317784257","9.247813411078717","8.471053727613494","3.4562467801086667","24.20408163265306","6.958350687213661","5.940857975843398","2.689934671084978","29.995418575593504","7.515201999167013","7.189920866305706","3.290648172570315"
"[steps]","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400"

"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0","25","1","0","0"
,"2","2","0","4.795486600846263","0","1","0","5.500705218617771","0","1","0","5.077574047954866","0","1","0","5.218617771509168","2","2","0","4.9365303244005645","1","2","0","4.513399153737659","2","2","0","4.231311706629055","2","2","0","5.077574047954866","1","2","0","5.077574047954866","2","2","0","5.6417489421720735"
